product_id,kota_id,brand,model,body_type,year,price,date_post
1,3171,Toyota,Toyota Yaris,Hatchback,2016,175000000,2022-01-01
2,3171,Toyota,Toyota Yaris,Hatchback,2018,215000000,2022-01-01
3,3171,Toyota,Toyota Yaris,Hatchback,2014,162000000,2022-01-02
4,3171,Toyota,Toyota Yaris,Hatchback,2020,220000000,2022-01-03
5,3171,Toyota,Toyota Yaris,Hatchback,2012,124000000,2022-01-04
6,3171,Toyota,Toyota Agya,Hatchback,2019,114000000,2022-01-04
7,3171,Toyota,Toyota Agya,Hatchback,2014,97000000,2022-01-04
8,3171,Toyota,Toyota Agya,Hatchback,2016,110000000,2022-01-05
9,3171,Toyota,Toyota Agya,Hatchback,2022,155500000,2022-01-06
10,3171,Toyota,Toyota Agya,Hatchback,2017,115500000,2022-01-06
11,3172,Toyota,Toyota Calya,Wagon,2019,130000000,2022-01-07
12,3172,Toyota,Toyota Calya,Wagon,2019,137000000,2022-01-07
13,3172,Toyota,Toyota Calya,Wagon,2017,115500000,2022-01-08
14,3172,Toyota,Toyota Calya,Wagon,2016,104000000,2022-01-08
15,3172,Toyota,Toyota Calya,Wagon,2016,107000000,2022-01-09
16,3173,Daihatsu,Daihatsu Ayla,Hatchback,2016,83000000,2022-01-10
17,3173,Daihatsu,Daihatsu Ayla,Hatchback,2019,120000000,2022-01-11
18,3173,Daihatsu,Daihatsu Ayla,Hatchback,2015,96000000,2022-01-11
19,3173,Daihatsu,Daihatsu Ayla,Hatchback,2017,115000000,2022-01-12
20,3173,Daihatsu,Daihatsu Ayla,Hatchback,2017,113000000,2022-01-12
21,3174,Daihatsu,Daihatsu Terios,SUV,2018,190000000,2022-01-13
22,3174,Daihatsu,Daihatsu Terios,SUV,2022,223000000,2022-01-14
23,3174,Daihatsu,Daihatsu Terios,SUV,2019,189900000,2022-01-14
24,3174,Daihatsu,Daihatsu Terios,SUV,2017,166000000,2022-01-15
25,3174,Daihatsu,Daihatsu Terios,SUV,2018,201000000,2022-01-01
26,3175,Daihatsu,Daihatsu Xenia,MPV,2019,170000000,2022-01-02
27,3175,Daihatsu,Daihatsu Xenia,MPV,2022,220500000,2022-01-03
28,3175,Daihatsu,Daihatsu Xenia,MPV,2017,135000000,2022-01-04
29,3175,Daihatsu,Daihatsu Xenia,MPV,2014,100000000,2022-01-05
30,3175,Daihatsu,Daihatsu Xenia,MPV,2018,159000000,2022-01-05
31,3573,Honda,Honda Jazz,Hatchback,2018,236000000,2022-01-06
32,3573,Honda,Honda Jazz,Hatchback,2019,250000000,2022-01-06
33,3573,Honda,Honda Jazz,Hatchback,2018,216000000,2022-01-07
34,3573,Honda,Honda Jazz,Hatchback,2015,192000000,2022-01-08
35,3573,Honda,Honda Jazz,Hatchback,2013,178000000,2022-01-08
36,3578,Honda,Honda CR-V,SUV,2018,415000000,2022-01-09
37,3578,Honda,Honda CR-V,SUV,2017,345000000,2022-01-09
38,3578,Honda,Honda CR-V,SUV,2009,116000000,2022-01-10
39,3578,Honda,Honda CR-V,SUV,2016,269000000,2022-01-10
40,3578,Honda,Honda CR-V,SUV,2018,398500000,2022-01-10
41,3471,Honda,Honda Civic,Hatchback,2018,350000000,2022-01-11
42,3273,Honda,Honda Civic,Sedan,2010,165000000,2022-01-12
43,3273,Honda,Honda Civic,Sedan,2013,186000000,2022-01-12
44,3273,Honda,Honda Civic,Sedan,2013,179000000,2022-01-13
45,1371,Honda,Honda Civic,HatchBack,2019,397500000,2022-01-14
46,1375,Suzuki,Suzuki Ertiga,MPV,2015,125000000,2022-01-14
47,1375,Suzuki,Suzuki Ertiga,MPV,2018,178000000,2022-01-14
48,1375,Suzuki,Suzuki Ertiga,MPV,2016,168000000,2022-01-15
49,1375,Suzuki,Suzuki Ertiga,MPV,2012,100000000,2022-01-15
50,1375,Suzuki,Suzuki Ertiga,MPV,2018,167000000,2022-01-15
